B.Code,B.Author.Last,B.Date,B.Journal,B.DOI,B.Url
HK0328,Khanyile,2014,Livestock Science,10.1016/j.livsci.2014.04.016,
HK0329,Nkosi,2016,South African Journal of Animal Science,10.4314/sajas.v46i1.5,
HK0331,Hlophe,2014,African Journal of Aquatic Science,10.2989/16085914.2014.958049,
HK0337,Hozza,2013,Tropical Animal Health and Production,10.1007/s11250-013-0436-x,
HK0340,Hamdi,2016,Small Ruminant Research,10.1016/j.smallrumres.2016.10.028,
HK0346,Nampanzira,2017,Small Ruminant Research,10.1016/j.smallrumres.2017.06.014,
HK0350,Madzimure,2014,Tropical Animal Health and Production,10.1007/s11250-014-0578-5,
JS0046,Ouedraogo-Kone,2009,Tropical Animal Health and Production,10.1007/s11250-009-9307-x,
JS0047,Pousga,2007,African Journal of Agricultural Research,,https://www.researchgate.net/profile/Jan-Lindberg/publication/237403845_Effect_of_supplements_based_on_fishmeal_or_cottonseed_cake_and_management_system_on_the_performance_and_economic_efficiency_of_exotic_hens_in_Burkina_Faso/links/02e7e5278bcbca1a61000000/Effect-of-supplements-based-on-fishmeal-or-cottonseed-cake-and-management-system-on-the-performance-and-economic-efficiency-of-exotic-hens-in-Burkina-Faso.pdf
JS0048,Sanon,2008,Livestock Science,10.1016/j.livsci.2007.12.011,
JS0060,Akinbamijo,2003,Livestock Production Science,10.1016/S0301-6226(02)00175-6,
JS0063,Little,1991,Tropical Animal Health and Production,10.1007/bf02361198,
JS0076,Atuahene,2002,Journal of Animal and Feed Sciences,10.22358/jafs/67816/2002,
JS0080,Donkoh,1999,Animal Feed Science and Technology,10.1016/s0377-8401(99)00069-3,
JS0095,Torto,1997,Tropical Animal Health and Production,10.1007/bf02633020,
JS0112,Essa,2011,Aquaculture,10.1016/j.aquaculture.2011.08.015,
JS0115,Shetaewi,2001,Tropical Animal Health and Production,10.1023/a:;1010337628292,
JS0118,Abd El-Rahman,2011,African Journal of Biotechnology,10.5897/AJB11.1595,
JS0119,El-Rahman,2012,Life Science Journal,,http://www.lifesciencesite.com/lsj/life0904/334_11751life0904_2250_2255.pdf
JS0123,Abdel-Shafy,2011,Tropical Animal Health and Production,10.1007/s11250-010-9696-x,
JS0125,Abdel-Warith,2001,Aquaculture Research,10.1046/j.1355-557x.2001.00053.x,
